
Testing with  PPO for 250000 steps
Using cpu device
Wrapping the env in a DummyVecEnv.
----------------------------------
| rollout/           |           |
|    entropy_loss         | -0.383    |
|    explained_variance   | -0.00149  |
|    learning_rate        | 0.0003    |
|    loss                 | 1.22e+03  |
|    n_updates            | 970       |
|    policy_gradient_loss | -0.0272   |
|    value_loss           | 5.15e+03  |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 5.61e+03    |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 99          |
|    time_elapsed         | 9639        |
|    total_timesteps      | 202752      |
| train/                  |             |
|    approx_kl            | 0.043551445 |
|    clip_fraction        | 0.173       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.38       |
|    explained_variance   | 0.000916    |
|    learning_rate        | 0.0003      |
|    loss                 | 2.09e+03    |
|    n_updates            | 980         |
|    policy_gradient_loss | -0.0296     |
|    value_loss           | 6.18e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 5.66e+03   |
| time/                   |            |
|    fps                  | 21         |
|    iterations           | 100        |
|    time_elapsed         | 9727       |
|    total_timesteps      | 204800     |
| train/                  |            |
|    approx_kl            | 0.03178548 |
|    clip_fraction        | 0.158      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.377     |
|    explained_variance   | -0.00373   |
|    learning_rate        | 0.0003     |
|    loss                 | 1.61e+03   |
|    n_updates            | 990        |
|    policy_gradient_loss | -0.0294    |
|    value_loss           | 6.07e+03   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 5.69e+03   |
| time/                   |            |
|    fps                  | 21         |
|    iterations           | 101        |
|    time_elapsed         | 9816       |
|    total_timesteps      | 206848     |
| train/                  |            |
|    approx_kl            | 0.04222946 |
|    clip_fraction        | 0.155      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.363     |
|    explained_variance   | -0.0116    |
|    learning_rate        | 0.0003     |
|    loss                 | 4.3e+03    |
|    n_updates            | 1000       |
|    policy_gradient_loss | -0.0263    |
|    value_loss           | 6.23e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 5.72e+03    |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 102         |
|    time_elapsed         | 9905        |
|    total_timesteps      | 208896      |
| train/                  |             |
|    approx_kl            | 0.030793143 |
|    clip_fraction        | 0.165       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.365      |
|    explained_variance   | -0.00241    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.85e+03    |
|    n_updates            | 1010        |
|    policy_gradient_loss | -0.0277     |
|    value_loss           | 5.49e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 5.77e+03    |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 103         |
|    time_elapsed         | 9994        |
|    total_timesteps      | 210944      |
| train/                  |             |
|    approx_kl            | 0.024784695 |
|    clip_fraction        | 0.122       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.351      |
|    explained_variance   | -0.00489    |
|    learning_rate        | 0.0003      |
|    loss                 | 3.31e+03    |
|    n_updates            | 1020        |
|    policy_gradient_loss | -0.0267     |
|    value_loss           | 5.32e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 5.8e+03     |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 104         |
|    time_elapsed         | 10082       |
|    total_timesteps      | 212992      |
| train/                  |             |
|    approx_kl            | 0.032749843 |
|    clip_fraction        | 0.138       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.347      |
|    explained_variance   | -0.00925    |
|    learning_rate        | 0.0003      |
|    loss                 | 3.26e+03    |
|    n_updates            | 1030        |
|    policy_gradient_loss | -0.0281     |
|    value_loss           | 6.71e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 5.82e+03    |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 105         |
|    time_elapsed         | 10172       |
|    total_timesteps      | 215040      |
| train/                  |             |
|    approx_kl            | 0.018728763 |
|    clip_fraction        | 0.132       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.345      |
|    explained_variance   | -0.00618    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.66e+03    |
|    n_updates            | 1040        |
|    policy_gradient_loss | -0.0276     |
|    value_loss           | 6.36e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 5.86e+03   |
| time/                   |            |
|    fps                  | 21         |
|    iterations           | 106        |
|    time_elapsed         | 10261      |
|    total_timesteps      | 217088     |
| train/                  |            |
|    approx_kl            | 0.01670473 |
|    clip_fraction        | 0.11       |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.325     |
|    explained_variance   | -0.0104    |
|    learning_rate        | 0.0003     |
|    loss                 | 1.6e+03    |
|    n_updates            | 1050       |
|    policy_gradient_loss | -0.0255    |
|    value_loss           | 6.86e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 5.88e+03    |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 107         |
|    time_elapsed         | 10351       |
|    total_timesteps      | 219136      |
| train/                  |             |
|    approx_kl            | 0.020791179 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.329      |
|    explained_variance   | 0.0004      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.99e+03    |
|    n_updates            | 1060        |
|    policy_gradient_loss | -0.0263     |
|    value_loss           | 6.75e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 5.93e+03    |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 108         |
|    time_elapsed         | 10442       |
|    total_timesteps      | 221184      |
| train/                  |             |
|    approx_kl            | 0.016603736 |
|    clip_fraction        | 0.113       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.32       |
|    explained_variance   | 0.00931     |
|    learning_rate        | 0.0003      |
|    loss                 | 5.23e+03    |
|    n_updates            | 1070        |
|    policy_gradient_loss | -0.0253     |
|    value_loss           | 7.02e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 6e+03      |
| time/                   |            |
|    fps                  | 21         |
|    iterations           | 109        |
|    time_elapsed         | 10532      |
|    total_timesteps      | 223232     |
| train/                  |            |
|    approx_kl            | 0.02681867 |
|    clip_fraction        | 0.126      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.315     |
|    explained_variance   | -0.00192   |
|    learning_rate        | 0.0003     |
|    loss                 | 2.98e+03   |
|    n_updates            | 1080       |
|    policy_gradient_loss | -0.0248    |
|    value_loss           | 6.59e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 6.04e+03    |
| time/                   |             |
|    fps                  | 21          |
|    iterations           | 110         |
|    time_elapsed         | 10621       |
|    total_timesteps      | 225280      |
| train/                  |             |
|    approx_kl            | 0.029441185 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.321      |
|    explained_variance   | -0.00621    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.8e+03     |
|    n_updates            | 1090        |
|    policy_gradient_loss | -0.0266     |
|    value_loss           | 6.13e+03    |
-----------------------------------------
